indicator,Level,system,factor,sub_factor,indicator_label,Preference,type,Metric,MSNA module,MSNA indicator,Question KOBO Code,Remarks/Limitations,an_threshold,van_threshold,Above or below,Evidence threshold,Factor threshold,Risk concept,prepared,new
IND001,Mortality outcome,mortality,mortality_outcome,mortality,Crude mortality rate,1,num_above_0,"Deaths per 10,000 per day",Mortality,"# of deaths per 10,000 people per day
and / or
# of under-5 year old deaths per 10,000 under-5 children per day",num_died,Need denominator,1,2,Above,1,1,,,
IND002,Mortality outcome,mortality,mortality_outcome,mortality,U5 mortality rate,1,num_above_0,"Deaths of under fives per 10,000 per day",Mortality,"# of deaths per 10,000 people per day
and / or
# of under-5 year old deaths per 10,000 under-5 children per day",num_died,Need denominator,2,4,Above,1,1,,,
IND003,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Incidence of acute malnutrition,1,prop,% of children 6-59 months GAM by WHZ,,,,,0.15,0.3,Above,1,1,Vulnerability,,
IND004,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Incidence of acute malnutrition,1,prop,% of children 6-59 months GAM by MUAC,,,muac_cm,,0.1,0.15,Above,1,1,Vulnerability,,
IND005,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Incidence of acute malnutrition,1,prop,% of children 6-59 months combined GAM,,,,,0.15,0.3,Above,1,1,Vulnerability,,
IND006,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Change in acute malnutrition cases,2,prop,% change of monthly new SAM admissions at Stabilization Center or OTP programs,,,,,0.3,0.45,Above,1,1,Vulnerability,,
IND007,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Change in acute malnutrition cases,2,prop,% change of monthly defaulters to SC or OTP programs,,,,,0.45,0.7,Above,1,1,Vulnerability,,
IND008,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Change in acute malnutrition cases,2,prop,% change of monthly deaths reported in Stabilization Centers or OTP,,,,,0.3,0.5,Above,1,1,Vulnerability,,
IND009,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Trends of acute malnutriiton in the last 3 months.,3,,Qualitative reports of doubled incidence of acute malnutrition in locality/catchment area in last 3m.,,,,,1,0,Above ,1,1,Vulnerability,,
IND010,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,Stock-outs of RUTF/ RUSF nutrition supplements/products in the last 3 months,3,,Qualitative reports of stock-outs of RUTF/ RUSF nutrition supplements/products in the last 3 months (% stock-out),,,,,50,70,Above,1,1,Vulnerability,,
IND011,Health outcomes,health_outcomes,nutrition_status,acute_malnutrition,"Number of community outreach activities, refferals and community screening of malnutrition by community health workers in catchment area in last 1 month.",3,,"Qualitative reports of number of community outreach, referrals and community screenings of malnutrition in last 1 month",,,,,1,,Below,1,1,Vulnerability,,
IND012,Health outcomes,health_outcomes,health_status,common_childhood_illnesses,Incidence of common childhood illnesses and symptoms per epiweek,1,num_above_0,"# of cases (all-causes) of common childhood illness in children under-5 years of age per 1000, per epiweek",,,,,200,300,Above,1,1,Vulnerability,,
IND013,Health outcomes,health_outcomes,health_status,common_childhood_illnesses,Incidence of common childhood illnesses and symptoms per epiweek,1,num_above_0,"# of cases of acute respiratory illness in children under-5 years of age per 1000, per epiweek",,,,,100,140,Above,1,1,Vulnerability,,
IND014,Health outcomes,health_outcomes,health_status,common_childhood_illnesses,Incidence of common childhood illnesses and symptoms per epiweek,1,num_above_0,"# of cases of acute watery diarrhea in children under-5 years of age per 1000, per epiweek",,,,,50,100,Above,1,1,Vulnerability,,
IND015,Health outcomes,health_outcomes,health_status,common_childhood_illnesses,Two-week prevalence of childhood illness,2,prop,% of children under-5 years with any illness in the two weeks prior to data collection,Nutrition - core individual,% of children under-5 years of age sick in the last two weeks as reported by primary caregiver,nut_ind_under5_sick_yn,,0.4,0.5,Above,1,1,Vulnerability,,
IND016,Health outcomes,health_outcomes,health_status,common_childhood_illnesses,Two-week prevalence of childhood illness,2,prop,% of children under-5 years with any acute respiratory infection in the two weeks prior to data collection,Nutrition - core individual,"% of children under-5 years of age sick in the last two weeks as reported by primary caregiver, by symptom",nut_under5_sick_symptoms,Not confirmed but can obtain symptomology,0.3,0.4,Above,1,1,Vulnerability,,
IND017,Health outcomes,health_outcomes,health_status,common_childhood_illnesses,Two-week prevalence of childhood illness,2,prop,% of children under-5 years with any acute watery diarrhea in the two weeks prior to data collection,Nutrition - core individual,"% of children under-5 years of age sick in the last two weeks as reported by primary caregiver, by symptom",nut_under5_sick_symptoms,Not confirmed but can obtain symptomology,0.2,0.3,Above,1,1,Vulnerability,,
IND018,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,Evidence of measles outbreaks,1,num_above_0,"# of confirmed or suspected cases of measles in children 6 months to 15 years of age (or context specific age groups), where at least one is confirmed",,,,,10,,Above,1,1,Vulnerability,,
IND019,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,Evidence of measles outbreaks,1,num_above_0,"# of cases of measles in children 6 months to 15 years of age per 1000 children, per epiweek",,,,,1,2,Above,1,1,Vulnerability,,
IND020,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,"Reports of measles outbreaks from disease surveillance systems, rapid assessments, or other secondary sources",2,num_above_0,"Confirmed outbreak, not controlled (cases increasing weekly, see epidemic curve)",,,,,1,,Above,1,1,Vulnerability,,
IND021,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,Evidence of cholera outbreaks,1,num_above_0,# of cases of cholera/suspect cholera in populations  where at least one case is confirmed,,,,,10,,Above,1,1,Vulnerability,,
IND022,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,Evidence of cholera outbreaks,1,num_above_0,# of cases of cholera/suspect cholera per 1000 people per week (all ages),,,,,0.5,1,Above,1,1,Vulnerability,,
IND023,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,"Reports of cholera outbreaks from disease surveillance systems, rapid assessments, or other secondary sources",2,num_above_0,"Confirmed outbreak, not controlled (cases increasing weekly, see epidemic curve)",,,,,1,,Above,1,1,Vulnerability,,
IND024,Health outcomes,health_outcomes,health_status,population_health_needs,Overall infectious disease incidence (all cause and all age),1,num_above_0,# of consultations/treatments for infectious diseases per 1000 people per epiweek,,,,,150,200,Above,1,1,Vulnerability,,
IND025,Health outcomes,health_outcomes,health_status,infectious_disease_outbreaks,Any health needs in past three months,2,prop,% of individuals with any health needs in the past 3 months,Forgone care - Core,% of individuals with a healthcare need,health_ind_healthcare_needed,,0.3,0.4,Above,1,1,Vulnerability,,
